dist,sum_dist
9.59e-05,-20.6903
9.6e-05,-31.396
9.61e-05,-29.9107
9.62e-05,-40.8304
9.63e-05,6.60713
9.64e-05,-46.747
9.65e-05,-19.3166
9.66e-05,-11.7449
9.67e-05,-24.0586
9.68e-05,-20.2688
9.69e-05,-22.982
9.7e-05,-25.8804
9.71e-05,-16.0987
9.72e-05,13.3463
9.73e-05,5.46117
9.74e-05,1.39447
9.75e-05,1.461
9.76e-05,-0.798827
9.77e-05,-9.94079
9.78e-05,-21.7641
9.79e-05,-3.63306
9.8e-05,14.1731
9.81e-05,-17.6748
9.82e-05,12.8133
9.83e-05,13.9209
9.84e-05,-7.97651
9.85e-05,-11.5472
9.86e-05,-6.01584
9.87e-05,-9.71167
9.88e-05,-4.33151
9.89e-05,-19.2924
9.9e-05,-8.95693
9.91e-05,-2.88322
9.92e-05,-9.60688
9.93e-05,-28.9533
9.94e-05,-13.5364
9.95e-05,-12.0003
9.96e-05,-11.6537
9.97e-05,-9.85424
9.98e-05,1.3792
9.99e-05,-35.9961
